Identifier,Status catalogue,Business line/Ligne d'affaires,Type of product/ Type de produit,Title/Titre (Eng),Description (English/anglais),Catalogue Link (EN),Title/Titre (Fra),Description (French/français),Catalogue Link (FR),Provider/Fournisseur,Homepage,Product has related courses/Ce produit a des cours connexes,Related courses/Cours connexes,Primary Intended Audience/Public ciblé principal,Total length of English product (h:mm:ss) / Durée totale du produit anglais (h:mm:ss),Total length of French product (h:mm:ss) / Durée totale du produit francais (h:mm:ss) copy,Duration - Showcard,Duration - Product page,Curriculum Architecture Placement/Emplacement dans l'architecture du curriculum,"If Corporate Skills, choose a sub-category/ Si Compétences organisationnelles, choisir une sous-catégorie","If Digital and Data, choose a sub-category/ Si numérique et données , choisir une sous-catégorie","If Healthy Workplace, choose a sub-category/ Si milieu de travail sain, choisir une sous-catégorie","If Public Sector Foundations, choose a sub-category/ Si fondements du secteur public, choisir une sous-catégorie","If Transferable Skills, choose a sub-category/ Si compétences transférables, choisir une sous-catégorie",Topics/Sujets,"Under Communication, are any of these sub-topics applicable?/Sous communication, un de ces sous-sujets est-il applicable ?","Under digital, data and design, are any of these sub-topics applicable?/Sous numérique, données et conception, un de ces sous-sujets est-il applicable ?","Under leadership, are any of these sub-topics applicable?/Sous leadership, un de ces sous-sujets est-il applicable ?","Under wellbeing, are any of these sub-topics applicable?/Sous mieux-être, un de ces sous-sujets est-il applicable ?","Under diversity, inclusion and Indigenous reconciliation, are any of these sub-topics applicable?/Sous diversité, inclusion et réconciliation avec les Autochtones, un de ces sous-sujets est-il applicable ?","Under working with others, are any of these sub-topics applicable?/Sous travailler ensemble, un de ces sous-sujets est-il applicable ?","Under project and product management, are any of these sub-topics applicable?/Sous gestion de produits et de projets, un de ces sous-sujets est-il applicable ?","Under government operations, are any of these sub-topics applicable?/Sous opérations gouvernementales, un de ces sous-sujets est-il applicable ?"
IRA1-V75,Active / Shown in catalogue,Indigenous Learning/Apprentissage autochtone,Video/Vidéo,"Red Dress Day 2025: Working Together to End Violence Against Indigenous Women, Girls and 2SLGBTQIA+ People (IRA1-V75)","This event recording examines the history and significance of Red Dress Day, the ongoing challenges faced by Indigenous women, girls, and 2SLGBTQIA+ individuals, and the collective efforts to end gender-based violence in Canada.",https://catalogue.csps-efpc.gc.ca/product?catalog=IRA1-V75&cm_locale=en,"Journée de la robe rouge 2025 : Travailler ensemble pour mettre fin à la violence contre les femmes, les filles et les personnes 2ELGBTQIA+ autochtones (IRA1-V75)","Cet enregistrement d’événement porte sur l’histoire et la signification de la Journée de la robe rouge, sur les difficultés continues auxquelles se butent les femmes, les filles et les personnes 2ELGBTQIA+ autochtones, et sur les efforts collectifs visant à mettre fin à la violence fondée sur le genre au Canada.",https://catalogue.csps-efpc.gc.ca/product?catalog=IRA1-V75&cm_locale=fr ,CSPS/EFPC,CSPS website,No/Non,,"Employees/Employés,Supervisors/Superviseurs,Managers/Gestionnaires,Executives/Cadres,""Sr. Leaders (ADMS, DMs)/Haute direction (SMA, SM)""",1:22:16,1:22:16,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Indigenous Reconciliation/Réconciliation autochtone ,,,,,,"""Diversity, inclusion and Indigenous reconciliation/Diversité, inclusion et réconciliation avec les Autochtones""",,,,,"2SLGBTQIA+/2SLGBTQIA+,Indigenous /Autochtones",,,
IRA1-V76,Active / Shown in catalogue,Indigenous Learning/Apprentissage autochtone,Video/Vidéo,Senior Leaders on Reconciliation: A Conversation with Valerie Gideon (IRA1-V76),"This video features Valerie Gideon, President of the Federal Economic Development Agency for Northern Ontario and Deputy Minister of Crown-Indigenous Relations and Northern Affairs, who offers a thoughtful reflection on her journey towards reconciliation within the government, along with insights from her personal experiences.",https://catalogue.csps-efpc.gc.ca/product?catalog=IRA1-V76&cm_locale=en,Le point de vue des cadres sur la réconciliation : une conversation avec Valerie Gideon (IRA1-V76),"Dans cette vidéo, Valerie Gideon, présidente de l’Agence fédérale de développement économique pour le Nord de l’Ontario, et sous-ministre de Relations Couronne-Autochtones et Affaires du Nord Canada, propose une réflexion approfondie sur son parcours vers la réconciliation au sein du gouvernement, ainsi qu’un aperçu de son expérience personnelle.",https://catalogue.csps-efpc.gc.ca/product?catalog=IRA1-V76&cm_locale=fr ,CSPS/EFPC,Brightspace - No Registration,No/Non,,"Employees/Employés,Supervisors/Superviseurs,Managers/Gestionnaires,Executives/Cadres,""Sr. Leaders (ADMS, DMs)/Haute direction (SMA, SM)""",13:05,13:09,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Indigenous Reconciliation/Réconciliation autochtone ,,,,,,"""Diversity, inclusion and Indigenous reconciliation/Diversité, inclusion et réconciliation avec les Autochtones"",Leadership/Leadership",,,Influence and storytelling/Influence et communication narrative,,Indigenous /Autochtones,,,
IRA1-V81,Active / Shown in catalogue,Indigenous Learning/Apprentissage autochtone,Video/Vidéo,National Day for Truth and Reconciliation 2025: Advancing Economic Reconciliation Through Indigenous Innovation (IRA1-V81),"This event recording examines the significance of the National Day for Truth and Reconciliation, the lasting impacts of the residential school system on Indigenous communities, and the evolving landscape of economic reconciliation through Indigenous data sovereignty, digital inclusion, and initiatives such as Employment and Social Development Canada’s IT Apprenticeship Program for Indigenous Peoples.",https://catalogue.csps-efpc.gc.ca/product?catalog=IRA1-V81&cm_locale=en,Journée nationale de la vérité et de la réconciliation 2025 : Faire avancer la réconciliation économique au moyen de l’innovation des Autochtones (IRA1-V81),"Cet enregistrement d’événement porte sur l’importance de la Journée nationale de la vérité et de la réconciliation, sur les séquelles du système des pensionnats sur les communautés autochtones, ainsi que sur l’évolution de la réconciliation économique à travers la souveraineté des données autochtones, l’inclusion numérique et des initiatives telles que le Programme d’apprentissage en technologies de l’information pour les Autochtones d’Emploi et Développement social Canada.",https://catalogue.csps-efpc.gc.ca/product?catalog=IRA1-V81&cm_locale=fr ,CSPS/EFPC,CSPS website,No/Non,,"Employees/Employés,Supervisors/Superviseurs,Managers/Gestionnaires,Executives/Cadres,""Sr. Leaders (ADMS, DMs)/Haute direction (SMA, SM)""",2:03:36,2:03:36,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)",2 hours/2 h,Indigenous Reconciliation/Réconciliation autochtone ,,,,,,"""Diversity, inclusion and Indigenous reconciliation/Diversité, inclusion et réconciliation avec les Autochtones""",,,,,Indigenous /Autochtones,,,
IRA1-V82,Active / Shown in catalogue,Indigenous Learning/Apprentissage autochtone,Video/Vidéo,Preserving and Revitalizing Indigenous Languages in Canada (IRA1-V82),"This event recording explores the Indigenous Languages Act and the initiatives underway to preserve, revitalize, and strengthen Indigenous languages across Canada.",https://catalogue.csps-efpc.gc.ca/product?catalog=IRA1-V82&cm_locale=en,Préserver et revitaliser les langues autochtones au Canada (IRA1-V82),"Cet enregistrement d’événement porte sur la Loi sur les langues autochtones et sur les initiatives en cours pour préserver, revitaliser et renforcer les langues autochtones partout au Canada",https://catalogue.csps-efpc.gc.ca/product?catalog=IRA1-V82&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,"Employees/Employés,Supervisors/Superviseurs,Managers/Gestionnaires,Executives/Cadres,""Sr. Leaders (ADMS, DMs)/Haute direction (SMA, SM)""",1:27:02,1:27:02,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Indigenous Reconciliation/Réconciliation autochtone ,,,,,,"""Diversity, inclusion and Indigenous reconciliation/Diversité, inclusion et réconciliation avec les Autochtones""",,,,,Indigenous /Autochtones,,,
LPL1-A01,Active / Shown in catalogue,Transferable Skills/Compétences transférables,Article/Article,"The U-T-C Trinity of Briefing: Understand, Translate, Convince (LPL1-A01)","This article explores how the U-T-C Trinity of Briefing (understand, translate, convince) can serve as a framework for effectively preparing and delivering briefings to decision-makers.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-A01&cm_locale=en,"La trinité C-T-C de l'exposé : comprendre, traduire et convaincre (LPL1-A01)","Cet article porte sur la façon dont la trinité C-T-C de l’exposé (comprendre, traduire, convaincre) de préparer et présenter des exposés percutants destinés aux décideuses et aux décideurs.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-A01&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,Executives/Cadres,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Leadership Programs/Programmes de leadership ,,,,,,"Communication/Communication,Leadership/Leadership",Presenting/Présentation,,Influence and storytelling/Influence et communication narrative,,,,,
LPL1-J01,Active / Shown in catalogue,Executive Learning/Apprentissage pour les cadres,Job aid/Outil de travail,Preparing for an EX Interview: Study Guide (LPL1-J01),"This job aid lists resources, self-reflection exercises and examples of common questions to consider when preparing for an executive-level job interview in the public service.  ",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-J01&cm_locale=en,Se préparer à une entrevue pour un poste EX : guide d'étude (LPL1-J01),"Cet outil de travail fournit des ressources, des exercices de réflexion personnelle et des exemples de questions courantes aidant à la préparation d'une entrevue pour un poste de cadre dans la fonction publique.  ",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-J01&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,LPL142 - Making the transition to an executive role/Faire la transition vers un poste de cadre,Managers/Gestionnaires,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Leadership Programs/Programmes de leadership ,,,,,,Leadership/Leadership,,,,,,,,
LPL1-J02,Active / Shown in catalogue,Executive Learning/Apprentissage pour les cadres,Job aid/Outil de travail,"Strategies for Briefing Deputy Ministers, Ministers and Political Staff (LPL1-J02)","This job aid provides strategies for effectively preparing and delivering briefings with impact to decision-makers such as deputy ministers, ministers and political staff.

https://www.csps-efpc.gc.ca/tools/jobaids/briefing-ministers-eng.aspx",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-J02&cm_locale=en,"Stratégies pour les breffages auprès des sous-ministres, des ministres et du personnel politique (LPL1-J02)","Cet outil de travail fournit des stratégies qui permettent de préparer et présenter efficacement des exposés percutants destinés aux décideuses et aux décideurs tels que les sous-ministres, les ministres et le personnel politique.

https://www.csps-efpc.gc.ca/tools/jobaids/briefing-ministers-fra.aspx",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-J02&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"LPL129 - Aspiring Directors Program - Phase 1/Programme à l'intention des futurs directeurs - phase 1,LPL131 - Aspiring Directors Program - Phase 3/Programme à l'intention des futurs directeurs - phase 3,LPL132 - New Directors Program/Programme à l'intention des nouveaux directeurs,LPL141 - Orientation for Directors General/Orientation à l'intention des directeurs généraux",Executives/Cadres,,,N/A,N/A,Leadership Programs/Programmes de leadership ,,,,,,"Communication/Communication,Leadership/Leadership","Presenting/Présentation,Writing/Rédaction",,Influence and storytelling/Influence et communication narrative,,,,,
LPL1-J04,Active / Shown in catalogue,President's Office/Bureau du Président,Job aid/Outil de travail,"Policy Leadership from Without: The Use, Design, Launch, and Support of Arms-Length Panels (LPL1-J04)","Written from a practitioner's perspective, this white paper supports federal decision-makers who are considering whether and how to use, design, launch, and support arms-length expert external advisory panels by examining the conditions of success when generating public policy ideas outside of government.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-J04&cm_locale=en,"Leadership externe en matière de politiques : créer, lancer, utiliser et soutenir les groupes d'experts indépendants (LPL1-J04)","Rédigé du point de vue d'un praticien, ce livre blanc guide les décideurs fédéraux qui s'interrogent sur la pertinence et la manière d'utiliser, de créer, de lancer et de soutenir un groupe d'experts externe indépendant en présentant les conditions de réussite de cet exercice servant à obtenir le point de vue de l'extérieur du gouvernement sur les politiques publiques.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-J04&cm_locale=fr ,CSPS/EFPC,CSPS website,No/Non,,"Executives/Cadres,""Sr. Leaders (ADMS, DMs)/Haute direction (SMA, SM)""",,,N/A,N/A,Leadership Programs/Programmes de leadership ,,,,,,"Government operations/Opérations gouvernementales,Leadership/Leadership",,,"Strategic thinking/Réflexion stratégique,Influence and storytelling/Influence et communication narrative",,,,,Policy and regulation/Politiques et réglementation
LPL1-V01,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: The Importance of the Intangibles Economy (LPL1-V01),"This event recording explores how the economy has changed and what policies are required to support a strong recovery and respond to longer-term trends, such as the shift towards the digital economy.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V01&cm_locale=en,Série sur les nouveaux enjeux économiques : L'importance d'une économie de l'immatériel (LPL1-V01),"Cet enregistrement d'événement porte sur l'évolution de l'économie et sur les politiques qui seront nécessaires pour soutenir une forte reprise économique et s'adapter aux tendances à long terme, telles que le passage à l'économie du numérique.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V01&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:12:54,1:12:54,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,Government operations/Opérations gouvernementales,""Digital, data and design/Numérique, données et conception""",,Data/Données,Strategic thinking/Réflexion stratégique,,,,,Policy and regulation/Politiques et réglementation
LPL1-V02,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: The Data-Driven Economy (LPL1-V02),"This event recording features a panel discussion on data ownership, the governance of emerging technologies and setting standards for big data and artificial intelligence.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V02&cm_locale=en,Série sur les nouveaux enjeux économiques : L'économie guidée par les données (LPL1-V02),"Cet enregistrement d'événement présente une discussion sur la propriété des données, la gouvernance des nouvelles technologies et l'établissement de normes sur les mégadonnées et l'intelligence artificielle.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V02&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:15:48,1:15:48,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,""Digital, data and design/Numérique, données et conception"",Government operations/Opérations gouvernementales",,Data/Données,Strategic thinking/Réflexion stratégique,,,,,Policy and regulation/Politiques et réglementation
LPL1-V03,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: Intellectual Property (LPL1-V03),This event recording explores the opportunities that intellectual property presents for Canada and the challenges of balancing property protection with openness and information sharing.,https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V03&cm_locale=en,Série sur les nouveaux enjeux économiques : La propriété intellectuelle (LPL1-V03),"Cet enregistrement d'événement porte sur les occasions que présente la propriété intellectuelle au Canada et sur les problèmes à surmonter pour trouver un équilibre entre la protection de la propriété intellectuelle, l'ouverture et la divulgation de renseignements.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V03&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:16:03,1:16:03,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,Government operations/Opérations gouvernementales",,,Strategic thinking/Réflexion stratégique,,,,,Policy and regulation/Politiques et réglementation
LPL1-V04,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: Governing Cross-Border Data Flows (LPL1-V04),"This event recording explores Canada's recent efforts in governing cross-border data flows through trade agreements, as well as how this approach has led to challenges in creating universal rules around the use of data and data trading.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V04&cm_locale=en,Série sur les nouveaux enjeux économiques : Réglementation des flux de données transfrontaliers (LPL1-V04),"Cet enregistrement d'événement porte sur les efforts déployés par le Canada pour réglementer les flux de données transfrontaliers au moyen d'accords commerciaux, et traite aussi de la manière dont cette approche a conduit à des défis liés à l'établissement de règles universelles régissant l'utilisation des données et des échanges de données.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V04&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:28:09,1:28:09,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,""Digital, data and design/Numérique, données et conception""",,"Data/Données,Security and privacy/Sécurité et confidentialité",Strategic thinking/Réflexion stratégique,,,,,
LPL1-V05,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,Leveraging Public Service Motivation to Facilitate Transformation (LPL1-V05),"This event recording features James L. Perry, Ph.D., who draws on decades of research to explain the principles of public service motivation, its importance in nurturing a sense of purpose, and ways to align individual efforts with government-wide goals.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V05&cm_locale=en,Mettre la motivation au service de la transformation de la fonction publique (LPL1-V05),"Cet enregistrement d'événement met en vedette James L. Perry, Ph. D., qui s'appuie sur des décennies de recherche pour expliquer les principes de la motivation à la fonction publique, l'importance de la motivation dans le développement d'un sentiment d'utilité, et la façon d'arrimer les efforts déployés dans les organisations aux objectifs collectifs de l'administration publique.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V05&cm_locale=fr ,CSPS/EFPC,CSPS website,No/Non,,"Managers/Gestionnaires,Executives/Cadres",26:34,26:34,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Leadership Programs/Programmes de leadership ,,,,,,"Working with others/Travailler ensemble,Leadership/Leadership,Wellbeing/Mieux-être",,,"Strategic thinking/Réflexion stratégique,Influence and storytelling/Influence et communication narrative,Managing teams/Gestion d’équipe,Coaching and mentoring/Coaching et mentorat","Resilience/Résilience,Workload management/Gestion de la charge de travail,Healthy workplace/Milieu de travail sain,Self-awareness/Conscience de soi,Change management/Gestion du changement",,"Managing teams/Gestion d’équipe,Coaching and mentoring/Coaching et mentorat",,
LPL1-V06,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: Standards and Governance (LPL1-V06),This event recording explores the importance of standards in the digital economy and how Canada can be a leader in the development of international technology standards.,https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V06&cm_locale=en,Série sur les nouveaux enjeux économiques : Normes et gouvernance (LPL1-V06),Cet enregistrement d'événement porte sur l'importance des normes dans l'économie numérique et le rôle de chef de file que le Canada peut jouer dans l'élaboration de normes technologiques internationales.,https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V06&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:14:22,1:14:22,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,Government operations/Opérations gouvernementales,""Digital, data and design/Numérique, données et conception""",,Information management/Gestion de l’information,Strategic thinking/Réflexion stratégique,,,,,Policy and regulation/Politiques et réglementation
LPL1-V07,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: Digital Identity as a New Policy Frontier (LPL1-V07),"This event recording explores how Canada's digital identity landscape is shaped by many levels of government, as well as by external stakeholders like the Digital Identification and Authentication Council of Canada and private sector organizations.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V07&cm_locale=en,Série sur les nouveaux enjeux économiques : L'identité numérique comme nouvelle frontière des politiques (LPL1-V07),"Cet enregistrement d'événement porte sur la manière dont les divers ordres de gouvernement ainsi que les intervenants externes, comme le Conseil canadien de l'identification et de l'authentification numériques, et le secteur privé, travaillent à définir l'identité numérique au Canada.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V07&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:15:12,1:15:12,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,""Digital, data and design/Numérique, données et conception""",,Security and privacy/Sécurité et confidentialité,Strategic thinking/Réflexion stratégique,,,,,
LPL1-V08,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: The Era of Winner-Take-Most Economics (LPL1-V08),"This event recording explores how the new economy has produced dominant tech giants who control market access, as well as the consequences of winner-take-most economics on individuals and the choices they make.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V08&cm_locale=en,Série sur les nouveaux enjeux économiques : L'ère où les grandes entreprises dominent le marché (LPL1-V08),"Cet enregistrement d'événement porte sur la manière dont la nouvelle économie a donné lieu à la domination du marché des technologies par les grandes entreprises, ainsi que sur les répercussions de ce contrôle sur les particuliers et leurs décisions.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V08&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:16:37,1:16:37,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,Government operations/Opérations gouvernementales",,,Strategic thinking/Réflexion stratégique,,,,,Policy and regulation/Politiques et réglementation
LPL1-V09,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: The Economics of Attention (LPL1-V09),This event recording explores key policy questions that have emerged through the attention economy and the role of government in countering harmful repercussions on individual and societal health.,https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V09&cm_locale=en,Série sur les nouveaux enjeux économiques : L'économie de l'attention (LPL1-V09),"Cet enregistrement d'événement porte sur les principales questions d'ordre politique auxquelles l'économie de l'attention a donné lieu, ainsi que sur le rôle que le gouvernement joue en vue d'en contrer les conséquences néfastes sur les particuliers et la société.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V09&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:30:21,1:30:21,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,Government operations/Opérations gouvernementales",,,Strategic thinking/Réflexion stratégique,,,,,Policy and regulation/Politiques et réglementation
LPL1-V10,Active / Shown in catalogue,"Policy, Priorities and Partnerships/Politique, priorités et partenariats",Video/Vidéo,The New Economy Series: Leading in an Era of Disruption (LPL1-V10),"This event recording captures the key insights raised throughout the New Economy series and considers their implications for a new economy defined by accelerating change and increasing complexity.
",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V10&cm_locale=en,Série sur les nouveaux enjeux économiques : Exercer son leadership dans une ère de perturbations (LPL1-V10),"Cet enregistrement d'événement porte sur les principales idées soulevées tout au long des séances de la Série sur les nouveaux enjeux économiques afin de permettre un examen de leurs implications pour la nouvelle économie, qui se définit par l'accélération du changement et une complexité croissante.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V10&cm_locale=fr,CSPS/EFPC,CSPS website,,,,1:30:56,1:30:56,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)","1.5 hours/1,5 h",Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,""Digital, data and design/Numérique, données et conception""",,Digital Leadership/Leadership numérique,Strategic thinking/Réflexion stratégique,,,,,
LPL1-V11,Active / Shown in catalogue,Executive Learning/Apprentissage pour les cadres,Video/Vidéo,EXecuTALK: Managing Inclusivity and Diversity to Promote a Psychologically Safe Workplace Environment (LPL1-V11),"This event recording features a discussion on diversity and inclusion in Canada's public service and how to change perceptions, implicit stereotypes and unconscious biases.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V11&cm_locale=en,Entre cadres : Gérer l'inclusion et la diversité afin de promouvoir un environnement de travail psychologiquement sûr (LPL1-V11),"Cet enregistrement d'événement présente une discussion sur la diversité et l'inclusion à la fonction publique du Canada ainsi que sur la façon de changer les perceptions, les stéréotypes implicites et les biais inconscients.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V11&cm_locale=fr,CSPS/EFPC,CSPS website,,,Executives/Cadres,30:29,31:05,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Leadership Programs/Programmes de leadership ,,,Workplace wellness/Bien-être sur le lieu de travail,,,"""Diversity, inclusion and Indigenous reconciliation/Diversité, inclusion et réconciliation avec les Autochtones"",Leadership/Leadership",,,Managing teams/Gestion d’équipe,,Respectful workplace/Milieu de travail respectueux,,,
LPL1-V12,Active / Shown in catalogue,Executive Learning/Apprentissage pour les cadres,Video/Vidéo,"EXecuTALK: Practical Tips for Strengthening Mental Health for Your Staff, Your Clients and Yourself (LPL1-V12)","This event recording features a discussion with mental health professional François Legault on strengthening the essentials of workplace well-being through sustained employee productivity, collaboration, problem-solving, innovation and retention.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V12&cm_locale=en,"Entre cadres : Conseils pratiques pour améliorer la santé mentale, celle de votre personnel, celle de vos clients et la vôtre (LPL1-V12)","Cet enregistrement d'événement présente une discussion avec François Legault, professionnel en santé mentale, au sujet du renforcement des éléments essentiels du bien-être en milieu de travail, que l'on rend possible grâce à la productivité constante des employés, à la collaboration, à la résolution de problèmes, à l'innovation et au maintien en poste.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V12&cm_locale=fr,CSPS/EFPC,CSPS website,,,Executives/Cadres,31:59,31:59,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Leadership Programs/Programmes de leadership ,,,Workplace wellness/Bien-être sur le lieu de travail,,,"Leadership/Leadership,Wellbeing/Mieux-être",,,,"Healthy workplace/Milieu de travail sain,Self-awareness/Conscience de soi",,,,
LPL1-V13,Active / Shown in catalogue,Executive Learning/Apprentissage pour les cadres,Video/Vidéo,EXecuTALK: Speaking Truth to Power: How to Survive the Responsibility (LPL1-V13),"This event recording features a discussion with Gerry Salembier, assistant deputy minister, public servant and leader, on managing difficult issues in good conscience.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V13&cm_locale=en,Entre cadres : Donner l'heure juste : comment survivre à cette responsabilité (LPL1-V13),"Cet enregistrement d'événement présente une discussion avec Gerry Salembier, sous-ministre adjoint, fonctionnaire et leader, au sujet de la gestion, en toute intégrité, de questions difficiles.",https://catalogue.csps-efpc.gc.ca/product?catalog=LPL1-V13&cm_locale=fr,CSPS/EFPC,CSPS website,,,Executives/Cadres,30:42,30:42,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Leadership Programs/Programmes de leadership ,,,,,,"Leadership/Leadership,Working with others/Travailler ensemble",,,,,,Collaboration and partnership/Collaboration et partenariat,,
